*,now-1d,now,*,total,gt,500,Pipe QL
app_name=Zebracould,now-1d,now,*,total,gt,0,Pipe QL
batch=batch-*,now-1d,now,*,total,gt,100,Pipe QL
min(zip) groupby batch,now-1d,now,*,total,,100,Pipe QL
Sunday,now-1d,now,*,total,gt,1,Pipe QL
arvidlesch@hilll.org,now-1d,now,*,total,gt,0,Pipe QL
http_status>400,now-1d,now,*,total,gt,0,Pipe QL
cardinality(user_email),now-1d,now,total,*,,1,Pipe QL
"""https://picsum.photos/130/268""",now-1d,now,*,total,gt,0,Pipe QL
latency<9539889 AND app_name=Koalahad,now-1d,now,*,total,gt,0,Pipe QL
"""MintCream""",now-1d,now,*,total,gt,100,Pipe QL
"(MintCream AND (""Thursday"" OR ""Monday""))",now-1d,now,*,total,gt,20,Pipe QL
"(MintCream AND (""Thursday"" OR ""Monday"")) | min(latency) groupby state",now-1d,now,*,total,gt,20,Pipe QL
latency<10000 AND latitude>0 AND longitude > 0,now-1d,now,*,total,gt,10,Pipe QL
Wisconsin,now-1d,now,*,total,gt,100,Pipe QL
female,now-1d,now,*,total,gt,100,Pipe QL
min(latency),now-1d,now,*,group:min(latency):*,eq,"2,837",Pipe QL
"min(latency) groupby city, http_method",now-1d,now,*,group:min(latency):Boston:POST,eq,655449,Pipe QL
"select batch as bt",now-1d,now,*,total,gt,100,SQL
"select weekday",now-1d,now,*,total,gt,1,SQL
"select gender as bt, city as `ct` from sample-log-dataset",now-1d,now,*,total,gt,0,SQL
"select batch as bt order by batch",now-1d,now,*,total,gt,100,SQL
"select batch as bt order by batch desc",now-1d,now,*,total,gt,100,SQL
"select batch as bt order by batch asc",now-1d,now,*,total,gt,100,SQL
"{app_name=""Zebracould""}",now-1d,now,*,total,gt,0,Log QL
"{batch=""batch-*""}",now-1d,now,*,total,gt,100,Log QL
"{weekday=""Sunday""} |= ""Sunday""",now-1d,now,*,total,gt,1,Log QL
"{batch=""batch-*""} | json",now-1d,now,*,total,gt,100,Log QL
"{gender=""female""} | http_status>400",now-1d,now,*,total,gt,0,Log QL
"{gender=""female"",city=""Fresno""} != ""batch-212""",now-1d,now,*,total,gt,100,Log QL
"{weekday=""Sunday""} | json",now-1d,now,*,total,gt,1,Log QL
"{gender=""female"",city=""Fresno""} | json city_life=""city"", single_gender=""gender""",now-1d,now,*,total,gt,100,Log QL
"{gender=""female"",city=""Fresno""} | logfmt city_life=""city"", single_gender=""gender""",now-1d,now,*,total,gt,100,Log QL
"{weekday=""Sunday""} | logfmt",now-1d,now,*,total,gt,1,Log QL
"count_over_time({batch=""batch-*""}[1d])", now-1d,now,*,total,gt,100,Log QL
app_name=Zebracould,now-1d,now,*,total,gt,0,Splunk QL
search app_name=Zebracould,now-1d,now,*,total,gt,0,Splunk QL
search Sunday,now-1d,now,*,total,gt,1,Splunk QL
search http_status>400,now-1d,now,*,total,gt,0,Splunk QL
"search 404",now-1d,now,*,total,gt,100,Splunk QL
"search 404"OR 500",now-1d,now,*,total,gt,100,Splunk QL
